,real_time-request-bases,real_time-request-end,real_time-request-exchanges,real_time-request-interval,real_time-request-methodology-vwm_twap-kind,real_time-request-methodology-vwm_twap-vwm_partition_size,real_time-request-percentiles,real_time-request-quote,real_time-request-semi_length_kind,real_time-request-semi_length_window,real_time-request-start,real_time-update_cron
KK_RR_AVAXUSD,"[{'asset': 'avax', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['cbse', 'krkn', 'stmp']",60s,UNIFORM_KERNEL,6s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,60s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_RR_AXSUSD,"[{'asset': 'axs', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['cbse', 'gmni', 'krkn']",60s,UNIFORM_KERNEL,6s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,60s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_RR_BATUSD,"[{'asset': 'bat', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['cbse', 'gmni', 'krkn']",120s,UNIFORM_KERNEL,12s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,120s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_RR_BCHUSD,"[{'asset': 'bch', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['cbse', 'itbi', 'krkn', 'lmax', 'stmp']",20s,UNIFORM_KERNEL,2s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,20s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_RR_BTCEUR,"[{'asset': 'btc', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['bfly', 'cbse', 'krkn', 'lmax', 'stmp']",15s,UNIFORM_KERNEL,3s,"[{'absolute_weights': [1], 'value': 1}]",eur,PRE,15s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_RR_BTCGBP,"[{'asset': 'btc', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['binc', 'cbse', 'krkn', 'lmax', 'stmp']",20s,UNIFORM_KERNEL,2s,"[{'absolute_weights': [1], 'value': 1}]",gbp,PRE,20s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_RR_BTCGBP_RES,"[{'asset': 'btc', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['cbse', 'gmni', 'krkn', 'lmax', 'stmp']",60s,UNIFORM_KERNEL,6s,"[{'absolute_weights': [1], 'value': 1}]",gbp,PRE,60s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_RR_BTCUSD,"[{'asset': 'btc', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['cbse', 'gmni', 'krkn', 'lmax', 'stmp']",15s,UNIFORM_KERNEL,3s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,15s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_RR_BTCUSD_1S,"[{'asset': 'btc', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['cbse', 'gmni', 'krkn', 'lmax', 'stmp']",15s,UNIFORM_KERNEL,3s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,15s,1970-01-01T00:00:00.000000000Z,*/1 * * * * * *
KK_RR_CRVUSD,"[{'asset': 'crv', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['cbse', 'gmni', 'krkn']",120s,UNIFORM_KERNEL,12s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,120s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_RR_DAIUSD,"[{'asset': 'dai', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['cbse', 'gmni', 'krkn']",60s,UNIFORM_KERNEL,6s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,60s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_RR_DOGEUSD,"[{'asset': 'doge', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['cbse', 'gmni', 'krkn']",20s,UNIFORM_KERNEL,2s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,20s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_RR_ENJUSD,"[{'asset': 'enj', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['btrx', 'cbse', 'gmni', 'krkn']",300s,UNIFORM_KERNEL,30s,"[{'absolute_weights': [1], 'value': 1}]",usd,PRE,300s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
KK_RR_ETHEUR,"[{'asset': 'eth', 'weight': 1}]",1970-01-01T00:00:00.000000000Z,"['binc', 'cbse', 'krkn', 'lmax', 'stmp']",15s,UNIFORM_KERNEL,3s,"[{'absolute_weights': [1], 'value': 1}]",eur,PRE,15s,1970-01-01T00:00:00.000000000Z,*/5 * * * * * *
